"Freq [GHz]","re(S(1 2)) []","im(S(1 2)) []"
8.0245,-0.893327984608204,0.0588715800245092
8.0246,-0.890871473333433,0.063211201441319
8.0247,-0.888251744272417,0.0677255031335841
8.0248,-0.885453808094794,0.0724248262608373
8.0249,-0.882460915982891,0.0773202205116267
8.025,-0.879254309309405,0.0824234834412405
8.0251,-0.875812927733211,0.0877471965900367
8.0252,-0.872113067894605,0.0933047558194022
8.0253,-0.86812798327942,0.0991103922822511
8.0254,-0.863827413858073,0.105179179054119
8.0255,-0.85917703171879,0.111527016546657
8.0256,-0.854137786016702,0.118170587218541
8.0257,-0.848665127054218,0.125127266521981
8.0258,-0.842708085090446,0.132414972106176
8.0259,-0.836208174450332,0.14005192651766
8.026,-0.829098087586947,0.148056299274592
8.0261,-0.821300136937717,0.156445681219691
8.0262,-0.812724394829278,0.165236326045878
8.0263,-0.803266473718576,0.174442068837605
8.0264,-0.792804881591526,0.184072796566422
8.0265,-0.781197882129811,0.194132296840135
8.0266,-0.768279789625082,0.204615243452878
8.0267,-0.753856640532664,0.215502983222441
